Co_ID|Exchange|Name| root_ ticker | QMV | OS_Shares | tech_sub_sector | cps | re |Sector| Sub_Sector |type_of_listing|date_of_listing|hq_location|hq_region|interlisted_code_1|interlisted_code_2|tsx_ven_grad|former_cpc|Index|technology_sub_sector|usa_city|USA_State|asia_region|place_inCopporated|fundfamily|sp_grouping|SP_Sub|income_trust_conversion| volume_ytd | value_ ytd | num_traded_share_ytd | num_of_month_trading_data |AFRICA|AUS_NZ_PNG|CANADA|CHINA_ ASIA|LATIN_AMERICA|OTHER|UK_EUROPE|USA|Oil_Gas|Gold|Silver|Copper|Nickel|Diamond|Molybdenum|Platinum_PGM|Iron|Lead|Zinc|Rare Earths|Potash|Lithium|Uranium|Coal|Tungsten|base_ precious_metals|mineral_properties|other_properties
AKI0001|TSX|Akita Drilling Ltd.|AKT| 101,750,797 | 17,945,661 |||| Industrial Products & Services |Energy Services||19930108|AB|Canada||||||||||C||||| 668,757 | 4,376,542 | 2,156 |6||||||||||||||||||||||||||||
ALA0004|TSX|Alaris Royalty Corp.|AD| 581,511,077 | 36,481,247 |||| Financial Services ||Other|20081118|AB|Canada|||||1|||||C||||| 21,184,340 | 373,050,529 | 116,709 |6||||||||||||||||||||||||||||
LIQ0002|TSX|Alcanna Inc.|CLIQ| 417,401,752 | 37,823,556 ||Consumer Staples|| Consumer Products & Services ||IPO|20040927|AB|Canada||||||||||C||||2011| 12,892,636 | 149,158,189 | 57,272 |6||||||||||||||||||||||||||||
ALG0003|TSX|Algoma Central Corporation|ALC| 656,921,778 | 39,348,315 |||| Industrial Products & Services |||19580527|ON|Canada||||||||||C||||| 642,986 | 14,829,544 | 2,400 |6||||||||||||||||||||||||||||
ALI0002|TSX|Alimentation Couche-Tard Inc.|ATD| 32,300,643,173 | 564,222,537 ||Consumer Staples|| Consumer Products & Services ||Other|19991206|Quebec|Canada|||||60|||||C||||| 112,608,883 | 6,587,068,732 | 597,186 |6||||||||||||||||||||||||||||
ALL0018|TSX|Allied Properties Real Estate Investment Trust|AP| 4,196,507,662 | 100,274,974 |||Industrial/Office/Retail/Residential| Real Estate ||IPO|20030219|ON|Canada|||||1|||||C||Income Trust|REIT|| 19,072,738 | 791,117,747 | 100,361 |6||||||||||||||||||||||||||||
ALT0015|TSX|AltaGas Ltd.|ALA| 8,069,877,790 | 303,386,996 |||| Industrial Products & Services |Energy Services|TSXV Grad|20000117|AB|Canada|||1||1|||||C||||2004_2010| 100,518,460 | 2,590,868,748 | 470,042 |6||||||||||||||||||||||||||||
AME0023|TSX|American Hotel Income Properties REIT LP|HOT| 701,358,267 | 78,599,819 |||Industrial/Office/Retail/Residential| Real Estate ||IPO|20130220|BC|Canada|TSX-OTCQX|||||||||C||Income Trust|REIT|| 18,107,798 | 158,948,074 | 49,404 |6||||||||||||||||||||||||||||
AND0004|TSX|Andrew Peller Limited/Andrew Peller Limitee|ADW| 752,744,287 | 44,173,280 ||Consumer Staples|| Consumer Products & Services |||19720829|ON|Canada||||||||||C||||| 5,732,074 | 98,446,420 | 20,793 |6||||||||||||||||||||||||||||
ARI0010|TSX|Aritzia Inc.|ATZ| 883,673,856 | 56,645,760 ||Consumer Discretionary|| Consumer Products & Services ||IPO|20161003|BC|Canada||||||||||C||||| 17,192,745 | 228,864,831 | 73,613 |6||||||||||||||||||||||||||||
WES0061|TSX|Artis Real Estate Investment Trust|AX| 2,368,945,663 | 169,445,779 |||Diversified| Real Estate ||TSXV Grad|20060417|MB|Canada|||1|1|1|||||C||Income Trust|REIT|| 32,733,308 | 480,972,861 | 124,475 |6||||||||||||||||||||||||||||
ATR0002|TSX|Atrium Mortgage Investment Corporation|AI| 595,159,756 | 37,473,856 |||| Financial Services ||Other|20120904|ON|Canada||||||||||C||||| 5,097,240 | 75,652,337 | 14,002 |6||||||||||||||||||||||||||||
ATS0001|TSX|ATS Automation Tooling Systems Inc.|ATA| 1,838,372,128 | 94,082,504 |||| Industrial Products & Services |||19931221|ON|Canada|||||1|||||C||||| 26,133,021 | 470,634,871 | 121,522 |6||||||||||||||||||||||||||||
AUT0005|TSX|AutoCanada Inc.|ACQ| 467,089,208 | 27,459,683 ||Consumer Discretionary|| Consumer Products & Services ||IPO|20060510|AB|Canada||||||||||C||||2010| 18,305,148 | 356,971,136 | 84,395 |6||||||||||||||||||||||||||||
AUT0006|TSX|Automotive Properties Real Estate Investment Trust|APR| 174,312,003 | 16,696,552 |||Industrial/Office/Retail/Residential| Real Estate ||IPO|20150722|ON|Canada||||||||||C||Income Trust|REIT|| 2,625,597 | 27,291,803 | 7,963 |6||||||||||||||||||||||||||||
AVC0002|TSX|Avcorp Industries Inc.|AVP| 16,870,225 | 337,404,502 |||| Industrial Products & Services |||19961127|BC|Canada||||||||||C||||| 1,896,865 | 85,453 | 204 |4||||||||||||||||||||||||||||
BAD0001|TSX|Badger Daylighting Ltd.|BAD| 1,174,978,567 | 37,100,681 |||| Industrial Products & Services |Energy Services||19970605|AB|Canada|||||1|||||C||||2004_2011| 18,182,538 | 482,982,586 | 89,779 |6||||||||||||||||||||||||||||
BAN0005|TSX|Bank of Montreal|BMO| 68,668,413,644 | 786,250,349 |||| Financial Services |||19220609|ON|Canada|TSX-NYSE||||60|||||C||||| 192,793,911 | 18,112,695,348 | 938,229 |6||||||||||||||||||||||||||||
BAN0006|TSX|Bank of Nova Scotia (The)|BNS| 94,439,182,038 | 1,339,461,132 |||| Financial Services |||19190516|ON|Canada|TSX-NYSE||||60|||||C||||| 282,074,005 | 21,333,394,935 | 1,214,901 |6||||||||||||||||||||||||||||
BCE0001|TSX|BCE Inc.|BCE| 51,083,637,850 | 1,058,278,996 |||| Comm & Media |||19050711|Quebec|Canada|TSX-NYSE||||60|||||C||||| 220,071,464 | 11,644,320,364 | 1,017,973 |6||||||||||||||||||||||||||||
BEC0001|TSX|Becker Milk Company Ltd. (The)|BEK| 18,595,839 | 1,267,610 |||Real Estate Operating Companies| Real Estate |||19670525|ON|Canada||||||||||C||||| 60,008 | 902,215 | 242 |6||||||||||||||||||||||||||||
BIG0006|TSX|Big Rock Brewery Inc.|BR| 34,279,793 | 6,981,628 ||Consumer Staples|| Consumer Products & Services |||19970225|AB|Canada||||||||||C||||2003_2011| 639,492 | 3,523,209 | 1,422 |6||||||||||||||||||||||||||||
BIR0007|TSX|Bird Construction Inc.|BDT| 308,672,353 | 42,516,853 |||| Industrial Products & Services ||TSXV Grad|20060227|ON|Canada|||1|||||||C||||2011| 12,357,395 | 100,264,982 | 32,473 |6||||||||||||||||||||||||||||
BLA0017|TSX|Black Diamond Group Limited|BDI| 197,516,482 | 55,482,158 |||| Industrial Products & Services ||IPO|20060925|AB|Canada||||||||||C||||2010| 13,878,435 | 39,483,590 | 34,528 |6||||||||||||||||||||||||||||
BMT0001|TSX|BMTC Group Inc.|GBT| 515,474,610 | 35,066,300 ||Consumer Discretionary|| Consumer Products & Services |||19991206|Quebec|Canada||||||||||C||||| 594,276 | 9,815,483 | 1,647 |6||||||||||||||||||||||||||||
BOA0001|TSX|Boardwalk Real Estate Investment Trust|BEI| 2,108,512,655 | 46,168,440 |||Industrial/Office/Retail/Residential| Real Estate ||TSXV Grad|19951106|AB|Canada|||1|1|1|||||C||Income Trust|REIT|2004| 15,273,276 | 683,565,199 | 87,196 |6||||||||||||||||||||||||||||
BOM0001|TSX|Bombardier Inc.|BBD| 12,946,255,828 | 2,436,766,018 |||| Industrial Products & Services |||19460502|Quebec|Canada|TSX-OTCQX||||60|||||C||||| 1,047,486,151 | 4,129,384,240 | 830,157 |6||||||||||||||||||||||||||||
BOS0002|TSX|Boston Pizza Royalties Income Fund|BPF| 431,593,162 | 21,886,063 ||Consumer Discretionary|| Consumer Products & Services |||20020716|BC|Canada||||||||||C||Income Trust|Business Trust|| 2,274,643 | 46,406,028 | 14,331 |6||||||||||||||||||||||||||||
BOY0001|TSX|Boyd Group Income Fund|BYD| 2,305,356,723 | 19,668,601 |||| Industrial Products & Services |||19991116|MB|Canada|||||1|||||C||Income Trust|Business Trust|2003| 4,006,278 | 433,988,167 | 28,055 |6||||||||||||||||||||||||||||
BOY0002|TSX|Boyuan Construction Group Inc.|BOY| 17,442,617 | 25,493,035 |||| Industrial Products & Services ||TSXV Grad|20100614|China|Asia|||1||||||Zhejiang|C||||| 558,060 | 1,150,352 | 457 |6||||||||||||||||||||||||||||
BRA0007|TSX|Brampton Brick Limited|BBL| 72,957,472 | 9,235,123 |||| Industrial Products & Services |||19861113|ON|Canada||||||||||C||||| 101,356 | 854,019 | 236 |6||||||||||||||||||||||||||||
BRI0029|TSX|Bri-Chem Corp.|BRY| 9,094,533 | 23,932,981 |||| Industrial Products & Services |Energy Services|TSXV Grad|20110704|AB|Canada|||1|||||||C||||| 4,820,565 | 2,633,027 | 1,189 |6||||||||||||||||||||||||||||
BRI0004|TSX|Brick Brewing Co. Limited|BRB| 146,934,116 | 35,320,701 ||Consumer Staples|| Consumer Products & Services |||19861211|ON|Canada||||||||||C||||| 4,021,139 | 16,364,343 | 4,380 |6||||||||||||||||||||||||||||
EDP0001|TSX|Brookfield Asset Management Inc.|BAM| 57,138,932,602 | 1,182,882,645 |||| Financial Services |||19790820|ON|Canada|TSX-NYSE||||60|||||C||||| 147,384,294 | 7,051,843,151 | 653,596 |6||||||||||||||||||||||||||||
BRO0038|TSX|Brookfield Business Partners L.P.|BBU| 3,335,102,361 | 66,185,798 |||Real Estate Operating Companies| Real Estate ||Other|20160531|Bermuda|Other|TSX-NYSE||||1|||||F||||| 10,374,763 | 495,109,423 | 38,774 |6||||||||||||||||||||||||||||
BRO0028|TSX|Brookfield Infrastructure Partners L.P.|BIP| 14,960,820,933 | 316,675,871 |||| Industrial Products & Services ||Other|20090910|Bermuda|Other|TSX-NYSE||||1|||||F||||| 29,082,644 | 1,388,139,228 | 158,807 |6||||||||||||||||||||||||||||
BRO0008|TSX|Brookfield Office Properties Inc.|BPO| 2,272,760,056 | 103,469,727 |||Industrial/Office/Retail/Residential| Real Estate |||19850627|USA|USA|||||||New York|NY||C||||| 10,235,278 | 238,841,228 | 24,503 |6||||||||||||||||||||||||||||
BRO0033|TSX|Brookfield Property Partners L.P.|BPY| 6,353,461,911 | 254,443,809 |||Industrial/Office/Retail/Residential| Real Estate ||Other|20130415|Bermuda|Other|TSX-NasdaqGM||||1|||||F||||| 21,471,064 | 549,698,384 | 111,908 |6||||||||||||||||||||||||||||
ROY0007|TSX|Brookfield Real Estate Services Inc.|BRE| 184,935,075 | 9,483,850 |||Real Estate Development and Services| Real Estate |||20030806|ON|Canada||||||||||C||||2011| 1,333,882 | 23,143,067 | 5,270 |6||||||||||||||||||||||||||||
BRP0001|TSX|BRP Inc.|DOO| 2,282,330,215 | 36,010,259 ||Consumer Discretionary|| Consumer Products & Services ||IPO|20130529|Quebec|Canada|||||1|||||C||||| 26,602,159 | 1,415,874,268 | 186,314 |6||||||||||||||||||||||||||||
BSR0001|TSX|BSR Real Estate Investment Trust|HOM| 157,225,000 | 16,550,000 |||Industrial/Office/Retail/Residential| Real Estate ||IPO|20180518|USA|USA|||||||Little Rock|AR||C||Income Trust|REIT|| 1,702,428 | 16,262,538 | 901 |2||||||||||||||||||||||||||||
BTB0002|TSX|BTB Real Estate Investment Trust|BTB| 307,759,481 | 55,461,810 |||Industrial/Office/Retail/Residential| Real Estate ||TSXV Grad|20120607|Quebec|Canada|||1|1||||||C||Income Trust|REIT|| 12,452,559 | 59,706,642 | 19,897 |6||||||||||||||||||||||||||||
BUH0001|TSX|Buhler Industries Inc.|BUI| 91,250,000 | 25,000,000 |||| Industrial Products & Services |Agriculture||19880804|MB|Canada||||||||||C||||| 74,090 | 302,610 | 174 |6||||||||||||||||||||||||||||
CAL0005|TSX|Caldwell Partners International Inc. (The)|CWL| 21,832,871 | 20,404,552 |||| Industrial Products & Services |||19990627|ON|Canada||||||||||C||||| 3,051,379 | 3,480,847 | 766 |6||||||||||||||||||||||||||||
DEN0004|TSX|Calfrac Well Services Ltd.|CFW| 804,639,711 | 144,200,665 |||| Industrial Products & Services |Energy Services||19600408|AB|Canada||||||||||C||||| 81,202,347 | 538,122,928 | 212,561 |6||||||||||||||||||||||||||||
CAL0023|TSX|Callidus Capital Corporation|CBL| 298,091,679 | 54,695,721 |||| Financial Services ||IPO|20140423|ON|Canada||||||||||C||||| 4,406,671 | 29,722,679 | 17,012 |6||||||||||||||||||||||||||||
CAN0135|TSX|Canaccord Genuity Group Inc.|CF| 968,561,451 | 122,071,412 |||| Financial Services ||IPO|20040629|BC|Canada||||||||||C||||| 34,502,942 | 233,866,550 | 121,583 |6||||||||||||||||||||||||||||
CAN0192|TSX|Canada Goose Holdings Inc.|GOOS| 2,934,394,129 | 37,951,295 ||Consumer Discretionary|| Consumer Products & Services ||IPO|20170321|ON|Canada|TSX-NYSE||||1|||||C||||| 37,903,162 | 1,998,374,417 | 289,197 |6||||||||||||||||||||||||||||
CAN0080|TSX|Canadian Apartment Properties Real Estate Investment Trust|CAR| 6,137,309,842 | 143,966,921 |||Industrial/Office/Retail/Residential| Real Estate |||19970521|ON|Canada|||||1|||||C||Income Trust|REIT|| 35,570,891 | 1,346,596,843 | 168,846 |6||||||||||||||||||||||||||||
CAN0021|TSX|Canadian General Investments Limited|CGI| 595,335,468 | 23,861,141 |||| Financial Services |||19620807|ON|Canada|TSX-LSE|||||||||C|Morgan Meighen & Associates|||| 812,662 | 19,568,349 | 2,414 |6||||||||||||||||||||||||||||
CAN0023|TSX|Canadian Imperial Bank Of Commerce|CM| 53,038,194,405 | 534,823,141 |||| Financial Services |||19610602|ON|Canada|TSX-NYSE||||60|||||C||||| 176,734,093 | 19,160,676,458 | 884,644 |6||||||||||||||||||||||||||||
CAN0003|TSX|Canadian National Railway Company|CNR| 79,160,584,300 | 736,172,085 |||| Industrial Products & Services |||19951117|Quebec|Canada|TSX-NYSE||||60|||||C||||| 167,755,348 | 16,757,507,850 | 1,103,478 |6||||||||||||||||||||||||||||
CAN0125|TSX|Canadian Pacific Railway Limited|CP| 34,343,360,901 | 142,550,892 |||| Industrial Products & Services ||Other|20011003|AB|Canada|TSX-NYSE||||60|||||C||||| 45,302,529 | 10,515,943,900 | 346,739 |6||||||||||||||||||||||||||||
CAN0041|TSX|Canadian Tire Corporation Limited|CTC| 11,505,624,362 | 65,528,927 ||Consumer Discretionary|| Consumer Products & Services |||19450102|ON|Canada|||||60|||||C||||| 26,293,597 | 4,465,473,476 | 196,274 |6||||||||||||||||||||||||||||
CAN0043|TSX|Canadian Western Bank|CWB| 3,348,183,526 | 99,430,982 |||| Financial Services |||19840514|AB|Canada|||||1|||||C||||| 36,325,763 | 1,296,262,077 | 209,912 |6||||||||||||||||||||||||||||
CAN0064|TSX|Canfor Corporation|CFP| 4,069,710,187 | 128,625,480 |||| Industrial Products & Services |Forest Products & Paper||19841003|BC|Canada|||||1|||||C||||| 43,794,289 | 1,312,581,086 | 250,418 |6||||||||||||||||||||||||||||
CAN0151|TSX|Canfor Pulp Products Inc.|CFX| 1,645,624,142 | 65,250,759 |||| Industrial Products & Services |Forest Products & Paper|Other|20060706|BC|Canada||||||||||C||||2011| 8,793,532 | 177,434,931 | 45,722 |6||||||||||||||||||||||||||||
CAN0067|TSX|Canlan Ice Sports Corp.|ICE| 64,684,445 | 13,336,999 |||Real Estate Operating Companies| Real Estate |||19900301|BC|Canada||||||||||C||||| 132,691 | 574,501 | 127 |6||||||||||||||||||||||||||||
CAN0134|TSX|CanWel Building Materials Group Ltd.|CWX| 534,532,897 | 77,693,735 |||| Industrial Products & Services ||IPO|20040512|BC|Canada||||||||||C||||2010_2005| 21,800,920 | 148,840,630 | 76,803 |6||||||||||||||||||||||||||||
CAR0024|TSX|Cargojet Inc.|CJT| 1,010,787,017 | 14,657,871 |||| Industrial Products & Services ||IPO|20050608|ON|Canada||||||||||C||||2011| 2,274,585 | 169,917,270 | 15,621 |6||||||||||||||||||||||||||||
CAT0002|TSX|Cathedral Energy Services Ltd.|CET| 57,348,216 | 49,438,117 |||| Industrial Products & Services |Energy Services||19870925|AB|Canada||||||||||C||||2002_2009| 9,967,678 | 15,019,059 | 11,425 |6||||||||||||||||||||||||||||
CCL0001|TSX|CCL Industries Inc.|CCL| 11,445,361,794 | 177,484,125 |||| Industrial Products & Services |||19800627|ON|Canada|||||1|||||C||||| 36,148,786 | 2,234,490,383 | 204,898 |6||||||||||||||||||||||||||||
CER0007|TSX|Cervus Equipment Corporation|CERV| 223,391,652 | 15,687,616 |||| Industrial Products & Services |Agriculture|TSXV Grad|20110131|AB|Canada|||1|||||||C||||| 910,889 | 13,156,737 | 3,192 |6||||||||||||||||||||||||||||
CAN0149|TSX|CES Energy Solutions Corp.|CEU| 1,204,157,964 | 268,186,629 |||| Industrial Products & Services |Energy Services|IPO|20060301|AB|Canada|||||1|||||C||||2010| 97,171,767 | 544,187,078 | 231,557 |6||||||||||||||||||||||||||||
CHA0020|TSX|Chartwell Retirement Residences|CSH| 3,237,202,144 | 211,167,785 |||Specialized| Real Estate ||IPO|20031113|ON|Canada|||||1|||||C||||| 33,603,472 | 514,124,536 | 149,736 |6||||||||||||||||||||||||||||
CHE0006|TSX|Chemtrade Logistics Income Fund|CHE| 1,851,621,835 | 97,311,006 |||| Industrial Products & Services |||20010717|ON|Canada|||||1|||||C||Income Trust|Business Trust|| 19,844,016 | 351,229,278 | 73,428 |6||||||||||||||||||||||||||||
CHE0008|TSX|Chesswood Group Limited|CHW| 179,443,092 | 16,523,305 |||| Financial Services ||IPO|20060509|ON|Canada||||||||||C||||2011| 2,483,093 | 26,515,113 | 8,704 |6||||||||||||||||||||||||||||
CHO0002|TSX|Choice Properties Real Estate Investment Trust|CHP| 3,357,657,291 | 277,263,195 |||Industrial/Office/Retail/Residential| Real Estate ||IPO|20130705|ON|Canada||||||||||C||Income Trust|REIT|| 67,689,045 | 801,630,834 | 174,194 |6||||||||||||||||||||||||||||
JAZ0002|TSX|Chorus Aviation Inc.|CHR| 1,176,770,812 | 140,745,854 |||| Industrial Products & Services ||IPO|20060201|NS|Canada|||||1|||||C||||2011| 60,428,049 | 496,290,007 | 198,004 |6||||||||||||||||||||||||||||
CIF0001|TSX|CI Financial Corp.|CIX| 6,250,507,763 | 264,515,775 |||| Financial Services |||19940620|ON|Canada|||||1|||||C||||2006_2009| 73,253,113 | 1,976,670,992 | 342,076 |6||||||||||||||||||||||||||||
CIB0001|TSX|CIBT Education Group Inc.|MBA| 56,003,763 | 78,878,540 ||Consumer Discretionary|| Consumer Products & Services ||TSXV Grad|20100526|BC|Canada|TSX-OTCQX||1|||||||C||||| 6,048,192 | 4,550,126 | 1,965 |6||||||||||||||||||||||||||||
CIN0006|TSX|Cineplex Inc.|CGX| 1,955,824,114 | 64,407,946 |||| Comm & Media ||IPO|20031125|ON|Canada|||||1|||||C||||2011| 38,306,685 | 1,194,619,848 | 215,496 |6||||||||||||||||||||||||||||
CLA0003|TSX|Clairvest Group Inc.|CVG| 718,840,285 | 15,213,551 |||| Financial Services |||19870506|ON|Canada||||||||||C||||| 61,017 | 2,677,825 | 297 |6||||||||||||||||||||||||||||
CLA0005|TSX|Clarke Inc.|CKI| 154,368,542 | 12,550,288 |||| Industrial Products & Services |||19980316|NS|Canada||||||||||C||||| 819,932 | 8,751,582 | 498 |6||||||||||||||||||||||||||||
NEW0052|TSX|ClearStream Energy Services Inc.|CSM| 7,146,181 | 109,941,241 |||| Industrial Products & Services |Energy Services|IPO|20050805|AB|Canada||||||||||C||||2011| 6,982,165 | 572,999 | 602 |6||||||||||||||||||||||||||||
COG0004|TSX|Cogeco Communications Inc.|CCA| 2,205,728,620 | 33,871,754 |||| Comm & Media |||19930705|Quebec|Canada|||||1|||||C||||| 9,746,046 | 699,899,930 | 73,519 |6||||||||||||||||||||||||||||
COG0001|TSX|Cogeco Inc.|CGO| 853,834,934 | 14,690,897 |||| Comm & Media |||19861203|Quebec|Canada||||||||||C||||| 2,060,456 | 148,250,207 | 16,646 |6||||||||||||||||||||||||||||
COL0013|TSX|Colabor Group Inc.|GCL| 87,466,466 | 101,677,932 ||Consumer Staples|| Consumer Products & Services ||IPO|20050627|Quebec|Canada||||||||||C||||2009| 10,418,899 | 9,436,325 | 3,913 |6||||||||||||||||||||||||||||
FIR0031|TSX|Colliers International Group Inc.|CIGI| 3,782,553,059 | 37,817,967 |||Real Estate Operating Companies| Real Estate |||19930622|ON|Canada|TSX-NasdaqGM||||1|||||C||||| 7,495,586 | 649,388,856 | 49,804 |6||||||||||||||||||||||||||||
COM0007|TSX|Cominar Real Estate Investment Trust|CUF| 2,332,464,890 | 181,939,539 |||Diversified| Real Estate |||19980521|Quebec|Canada|||||1|||||C||Income Trust|REIT|| 54,352,447 | 716,659,350 | 179,105 |6||||||||||||||||||||||||||||
CON0092|TSX|Conifex Timber Inc.|CFF| 217,267,987 | 37,188,008 |||| Industrial Products & Services |Forest Products & Paper|TSXV Grad|20140520|BC|Canada|||1|1||||||C||||| 4,743,119 | 28,657,895 | 7,652 |6||||||||||||||||||||||||||||
COO0001|TSX|Co-operators General Insurance Company|CCS| 92,800,000 | 4,000,000 |||| Financial Services |||19970610|ON|Canada||||||||||C||||| 154,010 | 3,601,712 | 609 |6||||||||||||||||||||||||||||
COR0003|TSX|Corby Spirit and Wine Limited|CSW| 581,898,848 | 28,468,856 ||Consumer Staples|| Consumer Products & Services |||19690203|ON|Canada||||||||||C||||| 1,180,858 | 24,198,553 | 6,479 |6||||||||||||||||||||||||||||
COR0021|TSX|Corus Entertainment Inc.|CJR| 1,015,019,886 | 204,641,106 |||| Comm & Media ||Other|19990903|ON|Canada|||||1|||||C||||| 111,529,271 | 809,264,429 | 362,044 |6||||||||||||||||||||||||||||
COT0001|TSX|Cott Corporation|BCB| 3,052,678,571 | 140,159,714 ||Consumer Staples|| Consumer Products & Services |||19861210|USA|USA|TSX-NYSE||||1||Tampa|FL||C||||| 18,917,678 | 379,888,922 | 113,178 |6||||||||||||||||||||||||||||
CPI0003|TSX|CPI Card Group Inc.|PMTS| 29,618,339 | 11,134,714 ||Consumer Discretionary|| Consumer Products & Services ||IPO|20151015|USA|USA|TSX-NasdaqGM||||||Littleton|CO||U||||| 188,933 | 728,871 | 1,130 |6||||||||||||||||||||||||||||
CRO0013|TSX|Crombie Real Estate Investment Trust|CRR| 1,215,296,279 | 90,261,632 |||Diversified| Real Estate ||IPO|20060322|NS|Canada|||||1|||||C||Income Trust|REIT|| 19,564,807 | 254,937,418 | 85,265 |6||||||||||||||||||||||||||||
CAB0008|TSX|Crosswinds Holdings Inc.|CWI| 18,811,413 | 9,176,299 |||| Financial Services ||TSXV Grad|20070430|ON|Canada|||1|1||||||C||||| 510,607 | 932,248 | 343 |6||||||||||||||||||||||||||||
CRO0016|TSX|Crown Capital Partners Inc.|CRWN| 115,804,351 | 9,668,409 |||| Financial Services ||IPO|20150709|AB|Canada||||||||||C||||| 1,236,349 | 13,938,924 | 1,081 |6||||||||||||||||||||||||||||
CTR0001|TSX|CT Real Estate Investment Trust|CRT| 1,169,324,306 | 90,645,295 |||Industrial/Office/Retail/Residential| Real Estate ||IPO|20131023|ON|Canada||||||||||C||Income Trust|REIT|| 5,458,509 | 73,081,299 | 13,608 |6||||||||||||||||||||||||||||
CUR0007|TSX|Currency Exchange International Corp.|CXI| 189,155,495 | 6,263,427 |||| Financial Services ||IPO|20120309|USA|USA|||||||Orlando|FL||U||||| 552,174 | 14,433,591 | 1,502 |6||||||||||||||||||||||||||||
CYM0002|TSX|Cymbria Corporation|CYB| 873,166,144 | 14,504,421 |||| Financial Services ||IPO|20081104|ON|Canada||||||||||C||||| 581,979 | 32,556,310 | 3,556 |6||||||||||||||||||||||||||||
DAT0009|TSX|Data Communications Management Corp.|DCM| 37,295,186 | 21,434,015 |||| Industrial Products & Services ||IPO|20041220|ON|Canada||||||||||C||||2012| 3,754,239 | 5,570,397 | 3,592 |6||||||||||||||||||||||||||||
DHX0001|TSX|DHX Media Ltd.|DHX| 489,694,315 | 135,647,002 |||| Comm & Media ||IPO|20060518|NS|Canada|TSX-NasdaqGM|||||||||C||||| 30,707,071 | 140,856,622 | 81,594 |6||||||||||||||||||||||||||||
DIF0002|TSX|Difference Capital Financial Inc.|DCF| 47,259,905 | 6,108,331 |||| Financial Services ||TSXV Grad|20131021|ON|Canada|||1|||||||C||||| 300,595 | 7,010,009 | 821 |6||||||||||||||||||||||||||||
DIR0027|TSX|Diversified Royalty Corp.|DIV| 386,135,136 | 107,659,735 |||| Industrial Products & Services ||TSXV Grad|20141009|BC|Canada|||1|||||||C||||| 20,416,312 | 73,708,998 | 33,349 |6||||||||||||||||||||||||||||
DOL0002|TSX|Dollarama Inc.|DOL| 16,701,583,364 | 327,739,077 ||Consumer Discretionary|| Consumer Products & Services ||IPO|20091015|Quebec|Canada|||||60|||||C||||| 48,278,588 | 6,638,417,279 | 326,330 |6||||||||||||||||||||||||||||
DOM0010|TSX|Domtar Corporation|UFS| 4,056,068,890 | 65,001,104 ||Consumer Staples|| Consumer Products & Services |Forest Products & Paper|Other|20070305|Quebec|Canada|TSX-NYSE|||||||||U||||| 7,874,193 | 463,831,051 | 57,075 |6||||||||||||||||||||||||||||
DOR0003|TSX|Dorel Industries Inc.|DII| 842,156,186 | 33,638,446 ||Consumer Discretionary|| Consumer Products & Services |||19900712|Quebec|Canada|||||1|||||C||||| 5,028,631 | 145,745,809 | 33,939 |6||||||||||||||||||||||||||||
DUN0010|TSX|Dream Global Real Estate Investment Trust|DRG| 2,747,617,141 | 191,338,241 |||Diversified| Real Estate ||IPO|20110803|ON|Canada||||||||||C||Income Trust|REIT|| 70,313,180 | 938,631,574 | 215,560 |6||||||||||||||||||||||||||||
DRE0005|TSX|Dream Hard Asset Alternatives Trust|DRA| 498,383,851 | 72,334,376 |||Industrial/Office/Retail/Residential| Real Estate ||IPO|20140708|ON|Canada||||||||||C||||| 5,909,067 | 38,177,212 | 12,648 |6||||||||||||||||||||||||||||
DUN0011|TSX|Dream Industrial Real Estate Investment Trust|DIR| 999,648,146 | 89,360,879 |||Industrial/Office/Retail/Residential| Real Estate ||IPO|20121004|ON|Canada|||||1|||||C||Income Trust|REIT|| 26,733,029 | 267,205,593 | 90,973 |6||||||||||||||||||||||||||||
DUN0004|TSX|Dream Office Real Estate Investment Trust|D| 1,410,206,785 | 60,188,083 |||Industrial/Office/Retail/Residential| Real Estate ||TSXV Grad|19970709|ON|Canada|||1|1|1|||||C||Income Trust|REIT|| 28,857,405 | 666,042,726 | 129,134 |6||||||||||||||||||||||||||||
DRE0004|TSX|DREAM Unlimited Corp.|DRM| 1,055,832,616 | 109,505,285 |||Industrial/Office/Retail/Residential| Real Estate ||Other|20130531|ON|Canada||||||||||C||||| 9,282,576 | 81,981,443 | 32,514 |6||||||||||||||||||||||||||||
DUN0002|TSX|Dundee Corporation|DC| 224,214,152 | 64,196,541 |||| Financial Services |||19911030|ON|Canada||||||||||C||||| 7,259,527 | 26,308,261 | 12,554 |6||||||||||||||||||||||||||||
EGI0002|TSX|Echelon Financial Holdings Inc.|EFH| 142,356,238 | 11,922,633 |||| Financial Services ||IPO|20051207|ON|Canada||||||||||C||||| 811,419 | 10,007,381 | 1,271 |6||||||||||||||||||||||||||||
ECL0002|TSX|Eclipse Residential Mortgage Investment Corporation|ERM| 29,169,534 | 3,136,509 |||| Financial Services ||IPO|20130628|ON|Canada||||||||||C||||| 449,112 | 4,387,499 | 1,020 |6||||||||||||||||||||||||||||
ECN0001|TSX|ECN Capital Corp.|ECN| 1,345,404,979 | 338,788,946 |||| Financial Services ||Other|20160928|ON|Canada|||||1|||||C||||| 165,528,489 | 614,967,116 | 199,094 |6||||||||||||||||||||||||||||
